msisdn,offer_tag,HS_AON,NW_AON,HS_BRAND,HS_BAND,HS_TYPE,Price,data_80_limit_breach,fup_limit_breach,data_usage_level,bundle_consistency,vowifi_mous,customer_age,cricket_cohort_tag,ir_roamer_tag,bb_tag,dth_tag,other_recharge,GENDER_L1,Category,GEO_TAG,AGE_BUCKET,AI_MASTER,NATIONAL_ROAMER,CWE,Digital_Savvy,OTT_LOVER
USR_15X86YTZXQ,349,57,98,Xiaomi,5G,Feature Phone,10470,6.23,3.94,Medium,Low,379,Adult,1,1,0,0,0,Male,Business,Rural,18-25,1,0,1,1,1
USR_U68DIX3U3B,349,28,100,Oppo,4G,Feature Phone,20456,7.79,3.19,Very High,High,29,Young,0,1,0,1,1,Female,Student,Rural,60+,1,1,1,1,1
USR_U7438LYQYN,349,27,104,Xiaomi,5G,Feature Phone,9882,4.19,2.98,Very High,High,105,Young,1,1,0,0,0,Female,Salaried,Rural,18-25,1,1,1,1,0
USR_T90J67WDH9,399,7,114,Oppo,5G,Smartphone,32446,3.06,4.27,Medium,Medium,234,Adult,0,0,0,1,0,Female,Homemaker,Metro,60+,0,1,0,0,1
USR_JYSFKDYUZ4,3999,44,84,Samsung,5G,Smartphone,138670,6.34,1.07,Medium,Medium,130,Senior,1,0,0,0,0,Male,Salaried,Metro,60+,1,0,0,1,1
USR_L2A60Z46Q7,349,51,66,Realme,4G,Smartphone,15017,8.04,3.77,Very High,High,412,Senior,1,0,0,1,1,Female,Homemaker,Rural,18-25,1,0,0,1,0
USR_GHM1ZUS5UT,3999,29,61,Apple,5G,Feature Phone,132871,3.62,2.55,High,High,240,Senior,1,1,0,1,1,Female,Student,Metro,18-25,0,0,0,1,0
USR_JPPI788ECI,349,31,114,Realme,4G,Smartphone,20308,4.61,1.29,Medium,High,174,Senior,0,1,0,1,0,Female,Business,Urban,36-45,0,0,0,1,0
USR_BUT8JVVWGU,1729,56,24,Apple,4G,Feature Phone,63859,3.45,2.55,Low,Medium,412,Senior,0,1,1,0,0,Male,Homemaker,Urban,36-45,1,1,1,1,1
USR_EI9VQL8COE,349,6,114,Xiaomi,5G,Smartphone,17073,3.86,3.48,Medium,Medium,163,Young,1,0,0,0,0,Female,Business,Rural,36-45,1,1,0,0,0
USR_XQHQDXQDZO,349,13,97,Realme,5G,Feature Phone,18181,0.3,3.04,High,Medium,479,Young,0,0,0,0,1,Male,Homemaker,Rural,60+,0,1,1,0,0
USR_W9Y5WRZ634,349,36,65,Realme,4G,Smartphone,15893,8.0,3.2,High,Medium,0,Senior,0,1,0,0,0,Female,Homemaker,Urban,60+,0,1,0,1,1
USR_JWEXE0H1OP,349,13,92,Vivo,5G,Smartphone,15386,7.37,4.2,Medium,Low,128,Adult,1,1,0,0,0,Male,Salaried,Urban,60+,1,1,0,0,0
USR_W5VHO80MFL,349,47,43,Xiaomi,4G,Smartphone,21267,1.9,3.4,Low,High,301,Adult,1,0,1,1,0,Male,Salaried,Rural,46-60,0,1,0,1,1
USR_2X5FX2R60Q,399,50,98,Vivo,4G,Smartphone,21938,4.72,2.12,Very High,Low,109,Adult,1,1,0,0,0,Male,Student,Urban,60+,0,0,1,1,0
USR_IK3AT9Q5KX,349,51,106,Xiaomi,4G,Feature Phone,10805,4.98,1.26,Low,High,155,Senior,1,0,0,1,0,Female,Homemaker,Rural,60+,1,0,0,0,0
USR_9II6ROPXOZ,399,44,57,Samsung,5G,Smartphone,32132,7.07,2.44,High,Low,324,Senior,0,0,1,0,0,Female,Homemaker,Urban,60+,1,1,1,0,1
USR_D5JKKLCTO2,349,6,56,Oppo,4G,Smartphone,13980,8.34,4.09,Low,High,295,Adult,1,1,0,0,1,Female,Homemaker,Urban,46-60,1,1,0,1,1
USR_C75O9PPTZ5,3999,52,54,Samsung,5G,Feature Phone,107614,1.78,4.78,Medium,Medium,395,Young,0,1,1,0,0,Male,Student,Metro,26-35,0,1,1,1,0
USR_3SRNSTLEJV,349,38,76,Xiaomi,5G,Smartphone,13677,6.4,4.44,Medium,Low,184,Senior,1,0,0,1,1,Male,Salaried,Urban,36-45,1,0,1,0,0
USR_ZJPP2030QZ,3999,26,60,Samsung,5G,Smartphone,140756,6.88,0.53,High,Low,250,Senior,0,0,1,0,1,Female,Business,Metro,46-60,0,1,0,0,1
USR_020GCYUS3R,979,15,35,Apple,5G,Smartphone,34576,7.81,4.25,Low,High,277,Adult,1,0,0,0,1,Male,Salaried,Urban,60+,0,1,0,0,1
USR_PQFVVI0P38,349,45,6,Xiaomi,5G,Smartphone,8999,4.93,0.36,Medium,Low,15,Young,0,1,1,0,0,Female,Business,Rural,18-25,0,1,0,1,0
USR_H27XM3YZ4R,979,53,100,Apple,4G,Feature Phone,45308,2.16,3.47,Very High,Low,470,Young,1,1,1,0,0,Female,Homemaker,Metro,36-45,1,1,1,0,1
USR_AS4LM8OUP2,349,56,73,Oppo,4G,Smartphone,18557,9.73,0.1,Medium,Low,72,Young,1,1,0,1,0,Male,Salaried,Rural,26-35,0,1,1,1,1
USR_9RMTVV3K4O,349,23,111,Xiaomi,4G,Feature Phone,18873,3.16,2.61,Very High,Medium,295,Young,1,1,1,1,0,Male,Homemaker,Rural,60+,1,1,1,1,1
USR_X8T8U3GRN1,979,6,27,OnePlus,4G,Smartphone,36599,6.6,3.89,High,Low,278,Young,1,0,1,1,1,Male,Salaried,Metro,36-45,0,0,1,0,1
USR_55BL84Q2EB,349,15,117,Realme,4G,Smartphone,8150,3.35,3.44,Medium,High,419,Senior,1,1,1,0,1,Male,Homemaker,Urban,18-25,1,1,1,0,1
USR_QGO8ML54WJ,979,45,75,Samsung,4G,Feature Phone,59621,0.04,1.12,High,Low,13,Adult,1,0,1,1,0,Female,Student,Metro,36-45,0,1,0,1,0
USR_0E34XUB0XZ,349,28,85,Realme,5G,Smartphone,13431,7.37,0.98,Medium,Low,152,Young,1,1,0,1,1,Male,Business,Urban,18-25,0,1,1,1,0
USR_1JZV5TQTZX,979,40,74,OnePlus,5G,Feature Phone,39034,9.52,2.25,High,Low,232,Senior,1,0,0,1,1,Female,Homemaker,Urban,18-25,1,1,0,0,1
USR_HLACLU0VM8,349,44,62,Vivo,5G,Smartphone,21924,5.99,4.33,Low,High,464,Young,0,0,0,0,0,Female,Salaried,Urban,26-35,0,1,0,0,1
USR_V9IF3BZG38,349,24,103,Xiaomi,5G,Smartphone,16055,6.37,2.48,Low,Medium,88,Adult,0,1,0,1,1,Male,Student,Rural,18-25,0,0,0,0,0
USR_1415EATBU6,399,35,44,Vivo,4G,Smartphone,19644,8.16,3.43,High,High,47,Adult,1,0,1,0,0,Male,Business,Urban,46-60,0,1,0,1,0
USR_PZALER073X,399,19,53,Samsung,4G,Smartphone,31215,6.6,0.31,Very High,Low,192,Young,1,0,1,0,0,Female,Homemaker,Urban,26-35,0,0,0,1,1
USR_S3VMR1AORV,3999,28,120,Samsung,5G,Feature Phone,104531,7.25,0.05,High,High,405,Adult,1,0,1,0,1,Male,Business,Metro,18-25,0,0,1,1,0
USR_X88WKTLX4I,399,47,112,Samsung,5G,Feature Phone,33103,9.75,3.68,Very High,High,2,Young,0,1,1,1,1,Male,Homemaker,Urban,60+,0,0,1,1,1
USR_QUUZDCRS5L,3999,34,56,Samsung,5G,Feature Phone,128992,7.35,1.55,Low,Low,480,Senior,0,0,1,1,1,Female,Homemaker,Metro,46-60,1,0,0,0,0
USR_VXE7052FWW,399,24,112,Oppo,5G,Smartphone,33608,4.93,0.67,Low,High,146,Adult,1,1,0,1,0,Male,Student,Metro,60+,0,0,0,0,0
USR_TPEE4FCYIC,399,56,13,OnePlus,4G,Smartphone,19526,5.45,0.03,Medium,High,247,Adult,0,0,1,1,1,Female,Business,Urban,36-45,1,0,0,1,1
USR_G9ULA2O0O1,979,25,17,Samsung,5G,Smartphone,52466,0.5,0.6,Low,Medium,111,Senior,1,1,0,1,1,Female,Student,Metro,60+,1,0,1,0,0
USR_MF0B0YP4XK,349,9,71,Oppo,4G,Feature Phone,14308,0.56,2.24,Very High,High,357,Adult,1,0,1,0,0,Female,Homemaker,Rural,36-45,1,0,1,0,0
USR_RTGD2QA9FP,349,56,44,Xiaomi,5G,Feature Phone,18111,9.09,1.66,High,High,56,Adult,1,1,0,0,0,Male,Business,Rural,60+,1,0,1,0,1
USR_FRVM8H9LEQ,349,41,78,Realme,5G,Smartphone,9931,9.46,3.93,Low,Low,127,Senior,1,1,1,0,0,Female,Salaried,Urban,46-60,0,1,1,1,1
USR_WOXOM1GB12,349,31,103,Xiaomi,5G,Feature Phone,15295,9.82,1.34,Low,High,230,Senior,1,1,1,0,0,Male,Homemaker,Rural,36-45,0,0,0,0,1
USR_LK62KZ0917,349,50,6,Oppo,4G,Smartphone,9664,1.92,0.9,Very High,High,347,Adult,1,1,1,1,0,Male,Business,Urban,46-60,0,1,1,0,0
USR_EWGKF1GX40,3999,19,85,Samsung,5G,Smartphone,101611,3.72,0.84,High,High,180,Young,0,1,0,0,1,Female,Business,Metro,26-35,0,1,1,0,0
USR_WSQUXJNGFN,3999,27,43,Apple,5G,Smartphone,119212,7.54,2.54,Medium,Low,331,Adult,0,0,0,0,0,Male,Salaried,Metro,60+,0,0,1,0,0
USR_TEGPSDGDBI,1729,41,30,Samsung,5G,Feature Phone,69062,9.05,1.47,High,Medium,447,Young,1,0,1,0,0,Male,Homemaker,Metro,26-35,0,0,1,1,1
USR_1O1ZZGDVWQ,349,59,118,Realme,5G,Feature Phone,13528,2.91,1.43,Low,Low,422,Senior,0,0,1,1,1,Female,Salaried,Urban,46-60,1,1,0,1,1
USR_TB76R8BJ5O,349,42,28,Xiaomi,5G,Feature Phone,8946,9.27,3.63,Very High,Medium,183,Senior,1,0,1,0,0,Male,Business,Rural,26-35,0,1,0,1,1
USR_L6DOTXA87J,349,58,67,Oppo,4G,Smartphone,15522,2.66,3.91,Very High,High,250,Young,1,0,1,1,0,Female,Student,Urban,18-25,1,0,1,1,1
USR_X4HHAFQNXA,349,15,11,Xiaomi,5G,Feature Phone,13561,7.9,1.61,Low,Low,457,Adult,0,0,0,0,1,Male,Salaried,Urban,18-25,1,1,1,1,0
USR_ZSX8JKX9KT,349,27,100,Vivo,5G,Feature Phone,10712,9.75,2.46,Medium,Low,75,Senior,0,1,1,1,1,Male,Business,Urban,36-45,0,1,1,0,1
USR_TV8B1CO6XW,349,6,72,Realme,4G,Feature Phone,17938,9.87,2.59,High,Low,77,Adult,0,0,0,0,1,Female,Homemaker,Rural,36-45,0,1,0,1,1
USR_IPI0IMKF14,349,46,116,Xiaomi,4G,Feature Phone,14263,4.28,4.08,Very High,Low,62,Senior,0,0,0,1,0,Female,Homemaker,Rural,18-25,1,0,0,0,1
USR_OO936P2ATL,399,59,91,Vivo,5G,Feature Phone,26539,7.75,1.74,High,Low,259,Young,0,0,0,0,1,Male,Student,Urban,18-25,0,1,0,1,0
USR_GJTCOCB098,979,49,59,Samsung,4G,Feature Phone,40698,3.21,4.1,Medium,Medium,495,Adult,0,1,0,1,1,Male,Homemaker,Urban,26-35,0,1,0,1,1
USR_ZT18U2D3ZL,979,57,83,Samsung,4G,Smartphone,46909,8.77,1.67,High,Medium,58,Young,0,1,1,1,0,Male,Homemaker,Metro,18-25,0,0,0,1,1
USR_XUP37LEAL4,979,14,67,Samsung,5G,Feature Phone,38774,8.62,3.85,High,Medium,173,Senior,0,0,1,0,0,Female,Homemaker,Metro,60+,1,1,0,1,0
USR_NEF4JIN9DT,3999,17,16,Samsung,4G,Feature Phone,124449,4.69,3.99,Low,Low,104,Adult,0,1,0,0,1,Male,Student,Metro,36-45,1,0,1,1,0
USR_57UJWZHPLO,349,18,13,Oppo,5G,Feature Phone,14976,9.03,2.29,High,Low,471,Young,1,1,1,0,1,Female,Business,Rural,46-60,0,1,0,1,1
USR_FWYFLC05SP,349,19,17,Vivo,5G,Feature Phone,11853,0.5,1.77,Medium,Low,297,Adult,1,0,0,0,0,Female,Salaried,Urban,18-25,1,1,1,0,1
USR_4Y017JT2YA,349,17,37,Vivo,5G,Smartphone,10243,0.08,4.85,High,Medium,337,Adult,1,0,0,0,0,Female,Homemaker,Urban,46-60,0,1,1,0,0
USR_L5ST5BXWO2,399,21,113,Vivo,4G,Feature Phone,31159,6.94,2.6,Medium,High,226,Senior,1,1,1,1,0,Male,Student,Urban,36-45,1,1,0,0,0
USR_8HBFNB1JJL,979,13,107,Apple,4G,Feature Phone,56960,7.11,4.52,High,Medium,409,Young,1,1,0,0,1,Female,Homemaker,Metro,46-60,1,0,1,1,1
USR_3QLDASDS6N,349,13,43,Vivo,5G,Smartphone,16762,5.55,3.69,Low,Low,388,Young,0,1,1,0,0,Female,Salaried,Rural,26-35,1,0,1,1,0
USR_TIA9RHXYVN,349,27,96,Vivo,5G,Feature Phone,16454,2.49,3.36,Medium,High,302,Young,1,1,0,0,1,Female,Salaried,Rural,26-35,1,1,1,1,1
USR_ESM9V74VL4,979,55,34,OnePlus,4G,Smartphone,40499,6.65,4.23,Very High,Medium,370,Senior,1,1,1,1,1,Female,Student,Metro,46-60,0,0,1,1,0
USR_P0CP4RRQO4,349,53,21,Realme,5G,Feature Phone,21006,6.89,4.36,Very High,Low,331,Senior,0,0,0,0,1,Male,Student,Urban,26-35,0,0,1,0,1
USR_NBKBX7L6UN,979,17,53,OnePlus,4G,Feature Phone,50409,4.21,1.61,High,High,23,Senior,1,1,1,1,1,Female,Homemaker,Metro,26-35,1,1,0,0,0
USR_PKJOURIOEP,349,54,27,Vivo,4G,Feature Phone,17056,4.81,1.17,Very High,Low,384,Senior,0,0,1,0,0,Female,Business,Rural,36-45,1,1,0,1,0
USR_7SVD7AU3GA,349,15,74,Vivo,4G,Feature Phone,18737,3.36,4.52,Very High,High,128,Adult,0,1,1,1,0,Female,Student,Urban,36-45,1,1,0,1,0
USR_9AOSCZVGSB,349,38,35,Xiaomi,4G,Smartphone,11723,0.23,2.01,Very High,Low,185,Senior,1,1,0,1,1,Female,Student,Urban,26-35,0,1,1,1,0
USR_4QF5YRPUHX,1729,22,11,Samsung,5G,Feature Phone,66233,6.94,1.26,Very High,Low,68,Adult,0,1,1,1,0,Female,Salaried,Urban,46-60,0,1,1,0,1
USR_WRKA0ELWOE,399,49,52,Samsung,5G,Feature Phone,18341,3.28,4.37,High,High,24,Adult,1,1,0,1,0,Female,Salaried,Metro,60+,0,1,0,0,1
USR_5SCHI7Y8B3,399,49,48,Vivo,5G,Feature Phone,32174,4.2,4.21,High,High,477,Senior,0,1,1,0,1,Male,Business,Urban,18-25,0,1,1,0,0
USR_Y2X0S1THG0,399,25,103,Vivo,5G,Smartphone,18766,7.83,4.17,Low,Medium,223,Young,1,0,1,0,0,Male,Homemaker,Urban,60+,0,0,0,0,0
USR_ME20KYZJDI,979,12,45,Apple,4G,Smartphone,35100,3.61,1.27,High,Low,368,Adult,1,0,0,0,0,Male,Salaried,Metro,36-45,0,1,0,0,0
USR_C3LITVVYBG,349,45,86,Realme,5G,Feature Phone,19482,6.24,2.57,Medium,High,150,Adult,1,0,0,1,1,Male,Salaried,Rural,46-60,0,0,1,0,0
USR_8D2PQ1QFV8,349,52,78,Realme,5G,Feature Phone,10931,3.16,3.56,Medium,Medium,25,Adult,0,1,1,1,1,Female,Business,Urban,36-45,1,0,0,0,1
USR_K1A3O094DR,349,29,45,Xiaomi,4G,Feature Phone,18568,5.28,3.4,Medium,Low,196,Senior,0,0,1,1,0,Male,Homemaker,Urban,36-45,1,0,1,0,0
USR_J44MARUHRY,3999,17,43,Samsung,5G,Feature Phone,72953,4.59,4.66,Medium,Medium,46,Young,0,1,1,0,0,Female,Student,Metro,60+,0,1,1,1,1
USR_WGFH84OI76,349,25,78,Realme,5G,Feature Phone,14305,3.08,1.51,Low,Medium,263,Young,1,1,0,0,1,Male,Homemaker,Rural,36-45,0,1,0,0,0
USR_MO3WC0CQGS,979,34,16,Samsung,4G,Smartphone,40491,7.96,1.56,Low,Low,186,Senior,0,0,0,0,1,Female,Student,Metro,46-60,1,0,1,0,1
USR_U5R894GGFI,979,58,61,Samsung,4G,Feature Phone,34100,8.28,3.82,Medium,Low,256,Senior,0,1,1,1,0,Female,Student,Urban,46-60,0,1,0,0,1
USR_Z2RWZPC4PF,349,11,20,Oppo,4G,Feature Phone,9710,9.99,3.83,Medium,High,212,Young,1,0,1,0,0,Male,Homemaker,Rural,36-45,1,0,1,1,1
USR_1N7XI7KJYL,979,50,31,OnePlus,4G,Smartphone,35145,3.12,3.88,High,Low,176,Senior,0,1,0,1,1,Female,Business,Urban,26-35,1,0,0,1,0
USR_JDZNB08TOO,1729,14,9,Apple,4G,Feature Phone,75453,3.99,2.14,Medium,Medium,195,Young,0,0,1,1,0,Male,Student,Urban,26-35,0,1,1,0,1
USR_DRZ4GH7WKE,349,23,24,Xiaomi,5G,Feature Phone,14368,1.96,4.85,High,High,293,Senior,1,0,1,0,0,Male,Business,Rural,46-60,1,1,1,1,0
USR_WR8014I4RT,399,14,58,OnePlus,4G,Smartphone,24782,8.07,0.59,High,Medium,143,Adult,1,0,0,0,0,Female,Salaried,Metro,18-25,1,0,1,0,1
USR_HVS46ULBDI,3999,55,24,Apple,5G,Feature Phone,90541,2.24,1.93,Medium,Low,250,Young,1,1,1,0,1,Female,Student,Metro,46-60,0,1,1,1,0
